,,Overall NHL Stats,,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SOG,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,John Tavares,TOR,34,F,75,38,36,74,46,10,18:13,15:21,2:50,0:01,26,12,0,8,1,28,8,0,6,2,54,20,0,14,3,27.0%,1.668,1.58,3.248,1.354,1.458,2.812,3.378,2.252,5.631,0.507,0.48,0.987,200,19.0%,91,45,762,546,58.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Kirill Marchenko,CBJ,24,F,79,31,43,74,20,29,18:34,15:57,2:33,0:03,29,2,0,2,1,26,17,0,4,0,55,19,0,6,1,25.7%,1.267,1.757,3.024,1.38,1.237,2.616,0.593,5.043,5.636,0.392,0.544,0.937,207,15.0%,55,38,13,28,31.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sebastian Aho,CAR,27,F,79,29,45,74,46,7,20:06,14:49,3:33,1:43,21,5,3,9,5,23,18,4,4,0,44,23,7,13,5,31.1%,1.096,1.7,2.796,1.076,1.179,2.255,1.066,3.837,4.903,0.367,0.57,0.937,207,14.0%,59,30,663,535,55.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Alexander Ovechkin,WSH,39,F,65,44,29,73,14,15,17:43,13:33,4:08,0:01,30,14,0,7,1,21,8,0,3,0,51,22,0,10,1,30.1%,2.291,1.51,3.802,2.043,1.43,3.473,3.115,1.78,4.896,0.677,0.446,1.123,237,18.6%,110,13,0,2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Adrian Kempe,LAK,28,F,81,35,38,73,36,22,19:09,14:58,2:45,1:26,27,7,1,5,1,27,11,0,8,3,54,18,1,13,4,24.7%,1.353,1.469,2.823,1.336,1.336,2.672,1.885,2.963,4.848,0.432,0.469,0.901,237,14.8%,99,36,11,13,45.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Matthew Boldy,MIN,23,F,82,27,46,73,51,1,20:17,16:43,3:10,0:22,21,6,0,10,2,31,15,0,11,2,52,21,0,21,4,28.8%,0.974,1.659,2.633,0.919,1.356,2.275,1.38,3.45,4.831,0.329,0.561,0.89,271,10.0%,52,69,58,67,46.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tage Thompson,BUF,27,F,76,44,28,72,35,-2,18:45,15:46,2:54,0:04,37,7,0,6,0,19,9,0,5,0,56,16,0,11,0,22.2%,1.852,1.179,3.031,1.852,0.951,2.803,1.902,2.446,4.348,0.579,0.368,0.947,242,18.2%,70,31,301,403,42.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Wyatt Johnston,DAL,21,F,82,33,38,71,14,2,18:55,14:23,3:02,1:29,19,11,3,4,1,24,14,0,6,1,43,25,3,10,2,35.2%,1.276,1.469,2.745,0.966,1.22,2.186,2.648,3.371,6.019,0.402,0.463,0.866,202,16.3%,45,47,465,444,51.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Aleksander Barkov,FLA,29,F,67,20,51,71,16,1,20:15,15:27,3:16,1:30,10,9,1,4,2,29,19,3,4,0,39,28,4,8,2,39.4%,0.884,2.255,3.139,0.579,1.68,2.259,2.457,5.187,7.644,0.299,0.761,1.06,149,13.4%,87,54,580,446,56.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Alex DeBrincat,DET,27,F,82,39,31,70,29,-13,17:52,14:51,2:59,0:01,26,13,0,4,1,15,16,0,6,2,41,29,0,10,3,41.4%,1.597,1.269,2.866,1.281,0.739,2.02,3.178,3.911,7.089,0.476,0.378,0.854,244,16.0%,33,38,26,32,44.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cole Caufield,MTL,23,F,82,37,33,70,14,9,18:04,14:58,3:05,0:00,27,10,0,8,1,26,7,0,6,4,53,17,0,14,5,24.3%,1.498,1.336,2.834,1.319,1.271,2.59,2.365,1.655,4.02,0.451,0.402,0.854,240,15.4%,65,31,6,9,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Jordan Kyrou,STL,26,F,82,36,34,70,20,23,17:28,15:11,2:16,0:00,29,7,0,4,0,24,10,0,3,1,53,17,0,7,1,24.3%,1.507,1.423,2.93,1.397,1.156,2.554,2.245,3.207,5.451,0.439,0.415,0.854,239,15.1%,50,36,5,10,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Rickard Rakell,PIT,31,F,81,35,35,70,14,-22,19:17,16:36,2:40,0:00,26,9,0,1,1,25,10,0,7,2,51,19,0,8,3,27.1%,1.343,1.343,2.687,1.16,1.115,2.275,2.486,2.762,5.247,0.432,0.432,0.864,203,17.2%,116,77,19,26,42.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Dylan Larkin,DET,28,F,82,30,40,70,40,-16,20:04,15:50,3:08,1:05,17,13,0,3,0,26,14,0,3,1,43,27,0,6,1,38.6%,1.094,1.458,2.552,0.785,1.201,1.986,3.03,3.264,6.294,0.366,0.488,0.854,234,12.8%,44,33,871,728,54.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Jack Hughes,NJD,23,F,62,27,43,70,18,12,20:54,16:52,3:12,0:49,20,6,1,7,2,21,21,1,6,1,41,27,2,13,3,38.6%,1.25,1.991,3.241,1.147,1.205,2.352,1.808,6.327,8.135,0.435,0.694,1.129,229,11.8%,6,29,251,416,37.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,J.T. Miller,TOT  ,31,F,72,22,48,70,55,-6,18:12,14:09,2:59,1:02,17,5,0,2,1,27,17,4,8,1,44,22,4,10,2,31.4%,1.007,2.198,3.205,1,1.589,2.589,1.394,4.738,6.132,0.306,0.667,0.972,137,16.1%,168,50,628,450,58.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Nico Hischier,NJD,25,F,75,35,34,69,20,9,20:23,15:26,2:52,2:03,21,14,0,3,0,17,15,2,8,0,38,29,2,11,0,42.0%,1.373,1.334,2.707,1.088,0.881,1.968,3.886,4.164,8.051,0.467,0.453,0.92,187,18.7%,44,60,987,790,55.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
